feature,importance
lag_168,0.41155052
hour_cos,0.21827376
hour,0.066951804
holiday,0.060184356
lag_24,0.045271993
day_of_week,0.04472197
is_weekend,0.037200924
hour_sin,0.021217128
T2M_toc,0.019003484
rolling_mean_24,0.016693076
Holiday_ID,0.01563659
T2M_san,0.010447252
rolling_std_24,0.0076242937
T2M_dav,0.0044737207
month_sin,0.0040166494
TQL_toc,0.0027787478
month,0.0019837406
school,0.0016558536
month_cos,0.0016322273
W2M_san,0.0013789574
W2M_toc,0.0012573226
QV2M_dav,0.0012146662
TQL_san,0.0010752929
QV2M_toc,0.0010269162
TQL_dav,0.0009872876
QV2M_san,0.0009022056
W2M_dav,0.00083925674
